id,Title,Release_Year,Genre,Synopsis
230,Любовь земная,1974,мелодрама,"Пронзительная и трогательная советская мелодрама, рассказывающая о жизни простой русской деревни в 30-х годах. Главный герой - председатель колхоза, женатый и уважаемый человек - неожиданно для всех, а тем более для себя, влюбляется в молодую девушку. Сможет ли он отказаться от своей любви или лучше откажется от положения в обществе? Режиссером фильма «Любовь земная» стал Евгений Матвеев, а в главных ролях снялись звезды советского кинематографа Ольга Остроумова и Евгений Матвеев. В нашем кинотеатре вы можете посмотреть этот фильм онлайн.
Захар Дерюгин – степенный, женатый человек, председатель колхоза. Он является примером подражания для всей деревни. Но все резко меняется, когда Захар влюбляется, как мальчишка, в молодую красавицу Маню Поливанову. Девушка отвечает на его чувства, и перед Захаром встает непростой выбор: большая любовь или уважение и признание в обществе. Тем временем, полным ходом развивается роман между сестрой Дерюгина и секретарем райкома Брюхановым. Их любовь заставляет Захара по-другому взглянуть на вещи."
231,Продается кошка,2012,мелодрама,"Жизнь целеустремлённой и зацикленной на работе Катерины кардинально меняется, когда на пороге её дома появляется детдомовская девочка. Под предлогом поиска кошки по объявлению маленькая Алина хочет остаться жить с молодой женщиной, которую считает своей мамой.
Катерина амбициозна и уверена в себе, а смыслом своей жизни видит работу, которой она посвящает всё своё время и силы. Весь привычный Кате мир переворачивается с ног на голову после того, как к ней домой приходит воспитанница детдома Алина.
Алина сбежала из приюта в надежде найти свою маму и отправилась в единственное место, которое знала, – квартиру, где много лет назад жили её родители. Катя пытается объяснить девочке, что она переехала только недавно и не была знакома со старыми хозяевами жилья, но настойчивая Алина не сдаётся. Чтобы отвязаться от ребёнка, Катя решает найти настоящую семью Алины. К своему огромному удивлению, в ходе поисков женщина постепенно привязывается к сироте…
Эта пронзительная и добрая история о том, что значит настоящее родство, никого не оставит равнодушным. Советуем посмотреть искренний фильм «Продаётся кошка» в нашем онлайн-кинотеатре."
232,Разрешите тебя поцеловать… отец невесты,2014,комедия,"Вот уже четвертый фильм о жизни полковника Григория Власова (Игорь Лифанов) и его очаровательной жены Натальи (Мария Куликова), с которой он познакомился в военной части, во время службы на Урале. Григорию и Наталье пришлось через много пройти, прежде чем связать свои судьбы, но теперь они счастливы в браке, живут в Петербурге и воспитывают сына Родиона, которому уже три года. Жизнь идет своим чередом, и в один прекрасный день в Питер возвращается Муха, семнадцатилетняя дочь Григория от первого брака. Маша окончила обучение в лондонском университете и теперь собирается замуж. Ее избранник – странноватого вида парень по имени Гарри, эдакий панк в килте. Нетрудно догадаться, что суженого-ряженого своей дочери Власов встречает без энтузиаста – не такого жениха он хотел для Маши. Полковник решает устроить парню проверку на прочность и предлагает Гарри пройти курс молодого бойца. Сможет ли заграничный жених доказать, что достоин дочери Власова, можно смотреть онлайн в комедийной мелодраме «Разрешите тебя поцеловать»."
233,Разрешите тебя поцеловать… на свадьбе,2013,комедия,"Жизнь Натальи и Григория идет в обычном русле – казенные квартиры, гарнизоны, бытовые проблемы и военный будни. И вдруг отец Наташи заводит разговор о том, что скоро Власова переведут в новую часть. Наташа в отчаянии, сколько можно мотаться по стране? Но отец еще не закончил. На этот раз Григория Власова переводят в Санкт-Петербург, ему будет выделена квартира, да не казенная, а своя. Сам генерал тоже перед пенсией готовится к повышению, вот тогда и можно будет всерьез подумать и о свадьбе Гриши с Наташей, и о внуках. Но, отведя Гришу в сторону, генерал добавляет: обо всем этом можно будет говорить лишь после того, как Гриша наведет порядок в одной из самых плохих частей, куда через неделю приедет проверка из Москвы. Если часть не пройдет проверку, то не видать генералу повышения перед пенсией, а Власову не видать ни Санкт-Петербурга, ни собственной квартиры. Власов не боится трудностей, но как успеть все это за неделю?!"
234,Барбос в гостях у Бобика,1964,Для детей,"Все знают о прекрасном мультфильме «Бобик в гостях у Барбоса», но мало кто слышал о его предшественнике, короткометражной картине «Барбос в гостях у Бобика». В фильме снялись настоящие живые «актеры» – терьер Мишка и дворняжка Люкс. У посетителей нашего интернет-кинотеатра есть редкая возможность посмотреть эту короткометражку онлайн.
В скромном жилище Барбоса все стало совсем плохо. Обильный летний ливень не оставил сухого места на соломенном полу дырявой конуры. Можно на время спастись консервными банками, которые будут собирать нежелательную влагу, но сколько это будет продолжаться? Зато у лохматого Бобика все как нельзя прекрасно. Он живет в теплом доме с дедушкой и лишь изредка носит ему обувь и другие вещи - не жизнь, а сказка. Однажды в отсутствие дедушки Бобик отваживается пригласить своего дворового товарища Барбоса в гости. При этом маленький сорванец не удерживается, чтобы не похвастаться, приписывая все имущество в доме себе. Четвероногие устраивают настоящий погром, после чего мирно засыпают в хозяйской постели. А тем временем дедушка возвращается домой, где его взгляду предстает шокирующая картина."
235,Старшина,1980,военный,"«Старшина» - советский патриотический фильм 1978 года об Отечественной войне от режиссера Николая Кошелева. Картина доступна для просмотра онлайн в нашем интернет-кинотеатре и будет интересна всем, кто интересуется советскими военными драмами.
Старшина Кацуба, получивший тяжелое ранение на фронте, после выписке из госпиталя направлен в провинциальный городок обучать курсантов авиационного училища военному делу. Безусловно, для героя, привыкшего к раскатам танкового мотора и шуму боя, педагогическая деятельность в новинку. Сначала отношения Кацубы с семнадцатилетними ребятами складываются неудачно: мальчишки считают его несправедливым, чересчур придирчивым. Кацуба, однако, вскоре находит подход к своим подопечным и становится настоящим «батей» для молодых воинов: каждого он утешит и приласкает, а иногда и просто даст по справедливости хороший нравственный пинок. В ребятах Кацуба находит свою семью, с которой он не без потерь переживает трудное военное время. Близится День Победы, который и для старшины и для его учеников - особенная дата…"
236,Любит не любит,2014,комедия,"Обаятельная, полная юмора и счастливых случайностей, романтическая комедия со звездами российского кино: Светланой Ходченковой, Максимом Матвеевым, Юрием Колокольниковым, Максимом Виторганом.
Жизнь Алексея идеальна. Он — успешен, хорош собой, у него прекрасная, любящая невеста Алена, которой он только что сделал предложение на Эйфелевой башне. Все было просто и ясно, пока случайно в самолете он не познакомился с известной журналисткой Ириной. 
Ирина - полная противоположность Алене: импульсивная, взбалмошная, независимая, острая на язык, отчаянно смелая и жадная до жизни. Она совершенно не подходит Алексею, но эта девушка с первой же встречи получает прописку в мыслях и душе героя. Ведь, кажется, что только рядом с ней он впервые понимает, что значит жить и дышать полной грудью. До свадьбы остается совсем немного времени, и герою необходимо срочно сделать выбор всей своей жизни! Кого же он в итоге выберет, вы сможете узнать, посмотрев этот ""Любит не любит"" онлайн."
237,Аташка на хайпе,2019,Зарубежные,"Преподаватель предпенсионного возраста Турсын Амангельдиевич вступает в конфликт с одной из студенток – вызывающей звездой соцсетей. Он решает доказать, что тоже способен покорить интернет, несмотря на свою седую бороду. Зажигательная казахстанская комедия на злобу дня от режиссера Анвара Матжанова. Главные роли исполнили Абунасыр Сериков и Бекзат Елеусизов. 

 Всё началось с заурядного инцидента во время университетской пары. Уважаемый профессор в летах Турсын Амангельдиевич сделал замечание невоспитанной студентке, которая в ответ назвала его отсталым стариканом. Обычная история? Но Турсын Амангельдиевич не пропускает грубость мимо ушей, используя традиционный «дедовский» метод наказания. Как результат – скандал и увольнение с работы, когда свидетели выкладывают в сеть видео с произошедшим. И очень скоро ролик становится настоящей бомбой. Опальный преподаватель убеждается, что интернет-слава доступна каждому, и с помощью молодого напарника начинает раскрутку собственного блога. В погоне за подписчиками он снимает на камеру свои хулиганские розыгрыши, но самое трудное в этом деле – вовремя остановиться. 

Остроумную и актуальную казахстанскую комедию «Аташка на хайпе» можно посмотреть онлайн."
238,Одиночество,2016,мелодрама,"Четырехсерийный телевизионный фильм о любви, верности и одиночестве. Невероятно чувственная картина расскажет историю о том, как один несчастный случай вынудит трех разных людей бороться со своим одиночеством. 

Главную роль здесь исполнила молодая актриса Анна Леванова («Тайны института благородных девиц» (2013), «Две женщины» (2014). Арина и Сергей полюбили друг друга чистой и безграничной любовью. Свадьбу решили играть сразу после возвращения Сергея, который работает спелеологом, из экспедиции. Но в планы героев вмешивается судьба, и Сергей остается совсем один в заваленной камнями пещере. Спасатели посчитали его погибшим, но Арина никак не может в это поверить. В итоге этой трагедии Арина, Сергей и мать Сергея становятся безутешно одинокими людьми. Чтобы узнать, как будут дальше развиваться события, рекомендуем смотреть онлайн сериал «Одиночество»."
239,Трижды о любви,1982,мелодрама,"мелодрама «Трижды о любви» рассказывает историю простого деревенского паренька Василия Лобанова, которому пришлось пережить и любовь, и предательство, но, несмотря ни на что, он не разочаровался ни в жизни, ни в любви, ни в женщинах.
Вернувшись из армии в родной колхоз, неунывающий весельчак узнает, что любимая девушка его не дождалась, выскочила замуж и переехала в соседнее село. Потрясенный, он глубоко переживает это предательство и потому совершенно не замечает соседскую девчонку Веру, давно и безнадежно в него влюбленную. Она заботится о парне, старается все время быть рядом, но Василию совсем не до нее. Однажды в сельской библиотеке он встречает Елену, новую заведующую, и, сам того не замечая, снова влюбляется. Строгая и неулыбчивая Елена – мать-одиночка, но присматривать мужа не торопится. Василий начинает ухаживать за женщиной, но, кажется, ей совсем не нужен новый роман. На нашем сайте можно смотреть эту трогательную мелодраму онлайн."
240,Как Иванушка-Дурачок за чудом ходил,1977,Для детей,"Волшебная сказка для всей семьи «Как Иванушка-дурачок за чудом ходил» научит ваших детей уму-разуму, да и вам самим добра душевного прибавит. Именно поэтому мы настоятельно рекомендуем большим и маленьким зрителям посмотреть этот фильм онлайн в нашем интернет-кинотеатре.
А герои в ней - ну просто загляденье: умный, несмотря на прозвище, и смелый Иванушка-дурачок, красавица писаная Настенька и отец ее, коварный Марко Богатый. Гулял как-то раз Иванушка по лесу, да песенки ежам пел и жизни радовался без причины. Повстречался ему странный мужичок в тулупе и с большим мешком. Захотел добрый молодец помочь мужичку, только тот оказался чересчур агрессивным и попытался убить Ивана. Он оказался наглым вором, а в мешке нес награбленное из дома местного зажиточного боярина Марко Петровича Богатого. И решил тогда Иванушка отнести награбленное назад владельцу. Пришел он к огромному поместью с решетками на окнах да на дверях, как будто в тюрьму попал. Встретилась ему тут прекрасная Настя, дочь Марко, в которую он влюбился без памяти. Захотел Иван Настю в жены взять, но не тут-то было: строгий и коварный отец отказал молодым и удумал отравить Иванушку."
241,Инкогнито из Петербурга,1977,комедия,"«Инкогнито из Петербурга» - очередная экранизация всегда злободневной и искрометной комедия Н. В. Гоголя «Ревизор» от режиссера Леонида Гайдая («Иван Васильевич меняет профессию», «Двенадцать стульев», «Бриллиантовая рука» и многие другие). Блестящий актерский состав - Анатолий Папанов, Сергей Мигицко, Нонна Мордюкова – залог стопроцентного попадания во всеми любимые образы. Добротную экранизацию, во всей полноте передающую настроение комедия Гоголя, фильм «Инкогнито из Петербурга», можно смотреть онлайн в нашем интернет-кинотеатре. 
Всеми хорошо знакомый сюжет таков. В уездном городке Российской империи распространяется небывалая новость: в город едет ревизор. Испуганные до полусмерти градоначальники ждут его со дня на день, думая, как выкрутиться из щекотливой ситуации. Тут городничему неожиданно докладывают, что в местной гостинице поселился подозрительный молодой человек, который по всем параметрам подходит под ожидаемого гостя. С этого момента начинается чиновничья чехарда, в ходе которой важные мужи раздувают из мухи слона. А мораль, конечно, такова: настоящий ревизор – это собственная совесть, которая как раз и не оставляет их в покое."
242,Незабудки,2013,мелодрама,"мелодраматический мини-сериал Юрия Павлова повествует о наивной девушке Алене (Елена Шилова), которая недавно закончила школу в небольшом городке, а теперь готовится к экзаменам для поступления в московскую консерваторию. Ее планы резко меняются, когда она влюбляется в офицера Артема (Антон Пампушный), что хуже всего – ее чувства оказываются безответны, ведь ему вовсе не до чувств едва знакомой девушки, ведь у него есть своя любовная драма. Девушка уже думает о том, чтобы уехать в Москву и забыть об этом, но неожиданно по ложному доносу отправляют в тюрьму. Алена узнает об этом и, будучи романтической персоной, решает отправиться в ссылку вместе с любимым, несмотря на то, что вовсе ему не нужно. Чтобы узнать, ответит ли ей Артем взаимностью, и сможет ли Алена найти свое счастье, рекомендуем смотреть мини-сериал «Незабудки» онлайн на нашем сайте."
243,Айболит-66,1966,Для детей,"""Айболит-66"" представляет собой экранизацию одного из самых известных детских произведений. Это эксцентричный, гротескный музыкальный фильм о приключениях знаменитого героя Корнея Чуковского – доктора Айболита. Режиссер картины Ролан Быков намеренно театрализовал действие и при этом сам снялся в роли главного злодея. В картине подчеркивается присутствие съемочной группы, актеры нарочно выпадают из кадра, действие разыгрывается то на сцене, то на ""натуре"". Обилие нестандартных художественных приемов позволило некоторым критикам отнести этот фильм для детей к артхаусу. Фильм также смело можно назвать полноценным мюзиклом, так как многие сюжетные повороты сопровождаются музыкальными номерами и песнями, некоторые из которых впоследствии получили культовый статус. Сюжет фильма рассказывает о том, как добрый ветеринар и его друзья мартышка Чичи и собака Авва отправляются в Африку лечить обезьян, а разбойник Бармалей пытается им помешать. О том, как все закончится, вы можете посмотреть онлайн в нашем интернет-кинотеатре."
244,Петрович,2012,мелодрама,"Галина Петровна живет в селе, в одиночку тащит на себе хозяйство, работает бригадиром на заводе стеклотары и никому не даст спуску. Сельчане зовут ее не иначе как «Петрович», и Галине это даже нравится. Это прозвище отлично подходит к ее суровому характеру и привычке одеваться по-мужски. Но однажды в село приезжает художник-немец, и ему удается разглядеть в Галине женщину – нежную, красивую и нуждающуюся в душевном тепле. Питер – человек городской, утонченный, совершенно не похожий на прямолинейную и грубоватую Галю. Но противоположности притягиваются, и между ними завязывается роман. Никто не обещает, что будет легко – чтобы зажить душа в душу, паре придется преодолеть множество предрассудков и совершенно неожиданных препятствий. Питер Шульке должен привыкнуть к суровому характеру бригадирши, а Галина – научиться доверять любимому человеку и видеть в нем сильное плечо. Фильм относительно недавний, но навевает воспоминания о советских лентах про сельскую жизнь. Смотрите фильм «Петрович» онлайн в нашем интернет-кинотеатре."
245,Жюль Верн. Путешествие длиною в жизнь,2013,документальный,"Франция, 1880-е годы. Жюль Верн уже достиг почтенного возраста, но тем не менее готовится отправиться в свое самое невероятное путешествие. К сожалению, этим планам будет не суждено осуществиться: в 1886 году в писателя дважды выстрелит из револьвера его психически больной племянник Гастон Верн, и о путешествиях ему придется забыть навсегда.
Это история жизни и творчества одного из самых популярных писателей всех времен и народов. С детства ему была уготована совсем другая судьба: отец Жюля, Пьер Верн, был лучшим адвокатом в городе и, кажется, интересовался только законом. Какая гора в мире самая высокая? Какая река самая длинная? Что можно увидеть в Африке? Эти и многие другие вопросы, интересовавшие маленького Жюля, оставались без ответа и еще больше разжигали его любопытство. 
Знакомство с великим писателем Александром Дюма позволит Жюлю сделать первые шаги на литературном поприще. Признание придет к нему не сразу: писателю придется даже играть на бирже, чтобы прокормить семью, и не раз сомневаться в своем выборе. Все изменится после выхода его первого романа «Пять недель на воздушном шаре»: он превратит Жюля Верна не просто в знаменитого писателя, но в человека, который научит мечтать весь мир и предвосхитит в своих произведениях многие достижения науки. 
Фильм «Жюль Верн. Путешествие длиною в жизнь» вы можете посмотреть онлайн на нашем сайте."
246,Ее сердце,2009,мелодрама,"22-летняя Вика работает ведущей на радио. Общительная и веселая, она окружена друзьями, с которыми выбирается по вечерам в клубы. Во время очередного эфира Вике становится плохо. Девушку везут в больницу, где выясняется, что у нее серьезное заболевание сердца, и жить осталось недолго. Врачам удается найти донора: им становится женщина, сбитая автомобилем. Ее сердце и пересаживают Виктории. 
После операции молодая пациентка начинает быстро восстанавливаться. Вика идет на поправку, рядом с ней все время находится ее парень Денис. Еще в палате интенсивной терапии Вика неожиданно для себя начинает рисовать — раньше такого таланта девушка за собой не замечала. Денис обращает внимание на то, что характер любимой постепенно меняется. Если раньше беззаботную девушку было не вытащить из ночных заведений, то теперь Вику туда не заманить. Все больше становится заметно, какое разное у молодых людей отношение к жизни. Более того, Вика признается Денису, что испытывает странное чувство, как будто у нее есть ребенок, о котором нужно заботиться. Какие еще перемены ждут Вику? Посмотрите фильм «Ее сердце» в нашем онлайн-кинотеатре."
247,Темный мир: Равновесие,2013,фэнтези,"Забрав с собой Павла Прилучного, рокового красавца из сериала «Закрытая школа», которому в новом проекте досталась одна из главных ролей в дуэте с Марией Пироговой, экранной дочкой доктора Быкова из обожаемого страной ситкома «Интерны», режиссер Олег Асадулин снял красивую историю любви, случившуюся при весьма неподходящих обстоятельствах. Когда из мира голодных сущностей в наш мир просачиваются тени, пожирающие жизненную энергию людей – это невозможно увидеть и тем более объяснить, это можно только почувствовать. Равновесие сил нарушено и скоро реальность, какой мы ее знаем, изменится навсегда.

Даже когда дневной свет исчезнет, и над миром опустится тьма, даже когда воздух станет тяжелым, как свинец, и каждый вздох будет причинять боль, даже когда все темные силы будут против нас, и нам некуда будет спрятаться, я буду любить тебя», обещала она – и когда все эти «если» действительно произойдут, насколько крепко окажется ее слово? Поклонники городского фэнтези непременно узнают ответ, начав смотреть онлайн российский фильм «Темный мир: Равновесие»."
248,Хоттабыч,2006,фантастика,"Российская молодежная комедия «Хоттабыч» порадует зрителей веселыми приключениями московского хакера и его необычных друзей. Юный компьютерный хулиган по имени Гена, живет в съемной квартире и промышляет взломами в мировой сети. После очередного крупного инцидента в сети на Гену обратили внимание сотрудники специального отдела ФСБ, а местная бандитская группировка требует от него взлома банка. Ко всему прочему, Гена заказывает на интернет-аукционе старинную лампу, в которой, по заявлениям продавца, есть джин. Как оказалось, в обшарпанном кувшине действительно живет бородатый старикашка, обладающий магическими способностями. Гена показывает Хоттабычу современную Москву, обучает джина особенностям сленга в сети, а тот в свою очередь помогает парню найти общий язык с женщинами. В это время российские спецслужбы вызывают из Америки лучшего агента по сетевым преступлениям, симпатичную девушку Энни, которая очень быстро выходит на след беспечного Геннадия. Для того чтобы узнать, как дальше будут развиваться события, рекомендуем смотреть онлайн «Хоттабыч»."
249,Если бы да кабы,2016,комедия,"Мечты Кати о большой неугасимой любви и блестящей карьере в модельном бизнесе не сбылись. В тридцать пять лет ей выпадает возможность вернуться в дни своей юности и выбрать другой путь в жизни. Олеся Фаттахова («Обнимая небо», «Мамочки»), Тимофей Каратаев («Берцы», «Фото на недобрую память») и Анастасия Задорожная («Любовь в большом городе», «Все будет хорошо») в романтической комедия о вечном выборе человека между карьерой и семьей.

Тридцатипятилетняя Катя Колесникова огладывается на свою жизнь и вздыхает: абсолютно все сложилось не так, как ей мечталось в юности. Когда-то ей казалось, что она встретила любовь всей жизни, яркого и талантливого музыканта, а сейчас он – обычный районный фининспектор. Когда-то она мечтала о лучших подиумах мира, а теперь работает на фабрике по пошиву спецодежды. 

Но что, если чудеса существуют, и шанс вернуться в прошлое вполне реален? Не приведет ли исправление «ошибок» к еще более нежелательным последствиям? Кате выпадет возможность отправиться на семнадцать лет назад и решить, что для нее самое ценное в жизни.
 
Приглашаем посмотреть фильм «Если бы да кабы» в нашем онлайн-кинотеатре."
250,Любовь с акцентом,2012,комедия,"Наконец-то уже можно посмотреть онлайн фильм «Любовь с акцентом» – новую работу Резо Гигинеишвили, автора нашумевшей когда-то «Жары». После провальной предыдущей ленты, молодой постановщик решил вновь заявить о себе картиной про свою родину. «Любовь с акцентом» получился движущейся открыткой с прекрасными видами Грузии. Однако фильм не лишен должного обаяния. Лента представляет собой альманах из нескольких историй, объединенных общей тематикой: фильм о том самом единственном и неповторимом чувстве, которое невозможно ни с чем спутать. Каждый из героев этих историй так или иначе ищет свою дорогу, свою любовь и близкого человека на тернистом жизненном пути. Это влюбленная парочка подростков, сбежавших от злых родителей в Батуми, и немолодая пара успешных деловых людей, задумавших развестись, и скромная немолодая работница телевидения из Вильнюса, мечтающая о детях, а также разуверившаяся в любви экскурсовод из Сигнахи. Все они самыми невероятными способами оказываются в солнечной Грузии, где в итоге смогут найти каждый свой «философский камень»."
251,"Взрослая дочь, или Тест на...",2010,мелодрама,"Дмитрий Марьянов и дебютантка Ольга Николич в легкой красочной комедия о семейных ценностях “Взрослая дочь, или Тест на...”. 
Быть отцом взрослой дочери – дело не из легких. Особенно, если ты единственный родитель. Но герой справляется со своей задачей блестяще. Ему всего 37, но у него уже 17-летняя дочь. Они прекрасно ладят, дружат, хоть иногда и пытаются довести друг друга до “белого каления”. Настя приводит в дом своих поклонников, а папа не прочь пофлиртовать с однокурсницами дочери. Но герою предстоит пройти настоящий тест на терпимость – девочка влюбляется в его партнера по бизнесу. Вот тут и вылезают на свет те самые проблемы отцов и детей. И Настя, и Алексей вскрывают свое истинное отношение ко всему происходящему: у отца просыпается страх за благополучие своей дочурки, а она, наконец, высказывает все, что накипело за долгие годы их совместной жизни. Приведет ли это к решению всех проблем и найдут ли свое счастье наши герои - смотрите в этой ненавязчивой яркой комедия онлайн прямо сейчас."
252,Случай в квадрате 36-80,1984,драма,"Остросюжетный драматический боевик «Случай в квадрате 36-80» был снят в начале 80-х в СССР. Сюжет основан на актуальной тогда теме политических отношений с Западом. Посмотреть эту интересную не только с кинематографической, но и с исторической точки зрения ленту можно онлайн в нашем интернет-кинотеатре.
События разворачиваются на фоне последнего десятилетия холодной войны. В Атлантическом океане проводятся глобальные военно-морские учения, в которых принимают участие силы обеих сторон. Один из матросов новейшей атомной подводной лодки США замечает неисправность в реакторе. Утечку не удается устранить, поэтому капитану подлодки приходится отдать приказ о всплытии, что раскрывает местоположение судна. Пилоту воздушного танкера Геннадию Волку поступает задание осуществить дозаправку самолета советских ремонтников, который был отправлен на помощь терпящей крушение лодке. Однако, несмотря на повышающийся уровень радиации, командование ВМС США отказывается от помощи, пытаясь всеми силами предотвратить появление советских военных на борту судна. Начинается неразбериха, когда вдруг вышедший из строя компьютер посылает в сторону советских кораблей две крылатые ракеты."
